productid,category,groupid,name,alternate,price,color1,color2,color3,color4,color5,image1,image2,image3,image4,image5,country,city,state,timing,also_appears_in_category
com.flashforceapp.whitesoxdefault,American Pro ⚾ ,1,Chicago (South),Home,0.99,000000,C0C0C0,,,,,,,,,USA,Chicago,Illinois,6_4,
com.flashforceapp.whitesoxaway,American Pro ⚾ ,1,Chicago (South),Away,0.99,CCCCCC,FFFFFF,000000,,,,,,,,USA,Chicago,Illinois,6_4_2,
com.flashforceapp.whitesoxbluered,American Pro ⚾ ,1,Chicago (South),Blue Red Alternate,0.99,003366,CC3333,FFFFFF,,,,,,,,USA,Chicago,Illinois,6_4_2,
com.flashforceapp.whitesoxblackwhite,American Pro ⚾ ,1,Chicago (South),Black Alternate,0.99,000000,FFFFFF,C0C0C0,,,,,,,,,,,6_4_2,
com.flashforceapp.oriolesdefault,American Pro ⚾ ,2,Baltimore,Home,0.99,FFFFFF,ed4c09,000000,,,,,,,,USA,Baltimore,Maryland,6_4_2,
com.flashforceapp.oriolesaway,American Pro ⚾ ,2,Baltimore,Away Gray,0.99,A4AAAC,ed4c09,000000,,,,,,,,USA,Baltimore,Maryland,6_4_2,
com.flashforceapp.oriolesorange,American Pro ⚾ ,2,Baltimore,Orange Alternate,0.99,ed4c09,000000,FFFFFF,,,,,,,,USA,Baltimore,Maryland,6_4_2,
com.flashforceapp.oriolesblack,American Pro ⚾ ,2,Baltimore,Black Alternate,0.99,FFFFFF,ed4c09,,,,,,,,,USA,Baltimore,Maryland,6_4,
com.flashforceapp.dodgersdefault,American Pro ⚾ ,3,Los Angeles,Home,0.99,FFFFFF,1E90FF,,,,,,,,,USA,Los Angeles,California,6_4,
com.flashforceapp.dodgersaway,American Pro ⚾ ,3,Los Angeles,Away,0.99,003366,1E90FF,,,,,,,,,,,,6_4,
com.flashforceapp.yankeesdefault,American Pro ⚾ ,4,New York (Bronx),Home,0.99,FFFFFF,1C2841,,,,,,,,,USA,New York,New York,6_4,
com.flashforceapp.yankeesaway,American Pro ⚾ ,4,New York (Bronx),Away,0.99,808080,1C2841,FFFFFF,,,,,,,,,,,6_4_2,
com.flashforceapp.diamondbacksdefault,American Pro ⚾ ,5,Arizona,Home,0.99,FFFFFF,A71930,DBCEAC,,,,,,,,USA,,Arizona,6_4_2,
com.flashforceapp.diamondbacksaway,American Pro ⚾ ,5,Arizona,Away,0.99,808080,A71930,DBCEAC,,,,,,,,,,,6_4_2,
com.flashforceapp.diamondbacksalt1,American Pro ⚾ ,5,Arizona,Red Alternate,0.99,A71930,DBCEAC,000000,,,,,,,,,,,6_4_2,
com.flashforceapp.diamondbacksal2,American Pro ⚾ ,5,Arizona,Black Alternate,0.99,000000,A71930,DBCEAC,,,,,,,,,,,6_4_2_2,
com.flashforceapp.rangersdefault,American Pro ⚾ ,6,Texas,Home,0.99,FFFFFF,003279,BD1021,,,,,,,,USA,,Texas,6_4_2,
